TwitterID,Tweet,Retweets,Replies,Likes,Quotes
realDonaldTrump,....@SenTedCruz @HawleyMO @Jim_Jordan @senatemajldr @GOPLeader &amp; THE WORLD!,9677,11309,66794,878
realDonaldTrump,"The Swing States did not even come close to following the dictates of their State Legislatures. These States  “election laws” were made up by local judges &amp; politicians, not by their Legislatures, &amp; are therefore, before even getting to irregularities &amp; fraud, UNCONSTITUTIONAL!",30334,22012,143032,2952
realDonaldTrump,Trump Speaks to State Legislators on Call About Decertifying Election  via @BreitbartNews,14893,17700,74435,1471
realDonaldTrump,"RT @AmyKremer: We are excited to announce the site of our January 6th event will be The Ellipse in the President’s Park, just steps from th…",9410,0,0,0
realDonaldTrump,"RT @LizWillis_: Arkansas, you were 🔥!Next stop: Cape Girardeau, Mo.@america1stwomen Bus Tour Livestream provided by @RSBNetwork.#JAN6…",4851,0,0,0
realDonaldTrump,RT @AmyKremer: Why are my own #GA Senators ⁦@KLoeffler⁩ &amp; ⁦@Perduesenate⁩ not supporting this effort?⁦@SenatorLoeffler⁩ ⁦@sendavidperdue⁩…,5511,0,0,0
realDonaldTrump,I will be there. Historic day!,25655,22493,126049,3374
realDonaldTrump,RT @AmyKremer: ❤️ My President,5294,0,0,0
realDonaldTrump,RT @AmyKremer: They only had 5 people RSVP and Hunter wasn’t one of them...,4335,0,0,0
realDonaldTrump,RT @AmyKremer: The #MarchForTrump bus has gone to more states than Joe Biden has supporters!,4380,0,0,0
realDonaldTrump,"RT @AmyKremer: The #MarchForTrump bus rolls into Bowling Green today at 12 noon.Senator @RandPaul, come join us &amp; pledge to contest the e…",4598,0,0,0
realDonaldTrump,"RT @BurgessOwens: If you only do what's easy, you will seldom do what's right.",5986,0,0,0
realDonaldTrump,RT @JenLawrence21: We have been marching all around the country for you Mr President. Now we will bring it to DC on Jan 6 and PROUDLY stand…,5000,0,0,0
realDonaldTrump,"Something how Dr. Fauci is revered by the LameStream Media as such a great professional, having done, they say, such an incredible job, yet he works for me and the Trump Administration, and I am in no way given any credit for my work. Gee, could this just be more Fake News?",19114,46867,136655,6252
realDonaldTrump,"“Georgia election data, just revealed, shows that over 17,000 votes illegally flipped from Trump to Biden.” @OANN  This alone (there are many other irregularities) is enough to easily “swing Georgia to Trump”. #StopTheSteal  @HawleyMO @SenTedCruz @Jim_Jordan",23272,13003,105527,2142
realDonaldTrump,"I spoke to Secretary of State Brad Raffensperger yesterday about Fulton County and voter fraud in Georgia. He was unwilling, or unable, to answer questions such as the “ballots under table” scam, ballot destruction, out of state “voters”, dead voters, and more. He has no clue!",28376,26936,132749,4767
realDonaldTrump,"Republicans in Georgia must be careful of the political corruption in Fulton County, which is rampant. The Governor, @BrianKempGA, and his puppet Lt. Governor, @GeoffDuncanGA, have done less than nothing. They are a disgrace to the great people of Georgia!",19103,10554,101663,1592
realDonaldTrump,"The number of cases and deaths of the China Virus is far exaggerated in the United States because of @CDCgov’s ridiculous method of determination compared to other countries, many of whom report, purposely, very inaccurately and low. “When in doubt, call it Covid.” Fake News!",28357,32927,141285,6510
realDonaldTrump,The vaccines are being delivered to the states by the Federal Government far faster than they can be administered!,13162,11850,107856,1567
realDonaldTrump,RT @EpochTimes: “They fear for their safety and the safety of their families in this hyper-political climate.”A #Michigan attorney in the…,4921,0,0,0
realDonaldTrump,RT @axios: SCOOP: A  growing number of Republican senators — led by Ted Cruz — are set to announce today they also will object to certifyin…,5242,0,0,0
realDonaldTrump,GOP Senators Join Hawley in Objecting to Electoral College Votes  via @BreitbartNews,11843,7999,69131,859
realDonaldTrump,RT @alaynatreene: NEW: A growing number of Republican senators — led by Ted Cruz — are set to announce today they also will object to certi…,7056,0,0,0
realDonaldTrump,"RT @SenatorLankford: Today, I am joining a group of Senators to propose an election commission to resolve the electoral issues. You can vie…",8157,0,0,0
realDonaldTrump,RT @HawleyMO: Glad to see more Senators joining the fight on #JAN6. I hope many more will listen to their constituents and act,13825,0,0,0
JoeBiden,"We've taken steps to lock in vital infrastructure investments—delivering lower costs for clean energy, spurring good-paying union jobs for American workers, and advancing environmental justice in our communities. We are proving that good climate policy is good economic policy.",2168,3848,10301,135
JoeBiden,"RT @POTUS: When I think of Nancy Pelosi, I think of dignity. History will note her as the most consequential Speaker of the House of Repr…",23121,0,0,0
JoeBiden,"Today is the one-year anniversary of the Bipartisan Infrastructure Law, the most significant federal investment in our nation’s infrastructure since Eisenhower’s Interstate Highway System.",4482,3271,23506,210
JoeBiden,"One year after the Bipartisan Infrastructure Law was signed, it is already delivering progress on once-in-a-generation investments in our roads, bridges, clean water systems, high-speed internet access, and so much more.",2303,1430,11499,94
JoeBiden,The difference between talking and delivering.,18605,15004,92301,2077
JoeBiden,"In this year’s midterm elections, we saw the strength and resilience of American democracy in action. There was a strong rejection of political violence, voter intimidation, and election deniers at every level.The American people proved—once again—democracy is who we are.",4822,6200,25236,306
JoeBiden,The American people overwhelmingly support our agenda:Lower prescription drug costsMaking health care more affordableRebuilding AmericaTaking on the climate crisisMaking big corporations begin to pay their fair share in taxesIt matters.,6144,9837,32789,573
JoeBiden,Tuesday was a good day for America and a good day for democracy—and a strong night for Democrats.,6172,5408,40870,405
JoeBiden,"I will work with anyone on ideas to provide more breathing room for American families. And I will oppose any effort to undo my agenda or make inflation worse.We are on the right path, and we need to keep moving forward to build an economy from the bottom up and the middle out.",5005,8237,25473,458
JoeBiden,"Our nation has a truly sacred obligation to prepare those we send into harm’s way, care for their families when they’re gone, and care for them and their families when they’re home. That’s a lifetime commitment the nation owes to every one of our veterans.",2757,1244,11103,125
JoeBiden,"I want to thank the young people of this nation who voted in historic numbers—again—just as you did 2 years ago.You voted to continue addressing the climate crisis, gun violence, your personal rights and freedoms and student debt relief.Thank you for making your voices heard.",6002,3928,35453,299
JoeBiden,Tuesday was a good day for America and a good day for democracy—and a strong night for Democrats.,4369,5014,33936,289
JoeBiden,LIVE: Tune in as I address the nation about the 2022 midterm elections.,588,461,2789,33
JoeBiden,"In this midterm election, we lost fewer seats in the House than any Democratic president’s first midterm election in at least 40 years.",8044,10379,69414,979
JoeBiden,You heard the man. Pitch in for Rev. Warnock tonight!,8661,2138,40451,295
JoeBiden,"I want to thank the young people of this nation who voted in historic numbers, just as they did two years ago.They voted to continue addressing the climate crisis, gun violence, their personal rights and freedoms, and student debt relief.",11558,6640,79163,604
JoeBiden,"Yesterday was a good day for democracy and a good day for America.Our democracy has been tested in recent years. But with their votes, the American people have spoken and proven once again: Democracy is who we are.",5463,4388,36746,332
JoeBiden,RT @POTUS: Just got off the phone with some of tonight’s winners — including some folks I saw on the road this year.If you’re in line to…,7385,0,0,0
JoeBiden,"As polls begin to close in certain parts of the country, if you’re in line at your polling place before it closes—stay in line.Make your voice heard.",7797,3190,39958,284
JoeBiden,There’s only a couple hours left until polls start to close. We don’t have a minute to waste.Confirm your polling place at  and make your voice heard.,882,690,3914,34
JoeBiden,Social Security.Medicare.The right to choose.It’s all on the ballot. This election is too important to sit out.,5726,5269,25389,343
JoeBiden,"We have a chance to build back our country in a way that’s better for everybody, Republicans want to take us backwards.Confirm your polling location at",1185,1850,4922,90
JoeBiden,"If you run into any issues while trying to cast your ballot, call the Voter Assistance Hotline at  (833) 336-8683.",5903,1501,11742,164
JoeBiden,We need all hands on deck to elect Democrats. Head to  to help call voters in critical battleground states.You can make the difference in the outcome of this election.,1735,2183,7470,114
JoeBiden,Do you know where to vote?Go to  to confirm your polling location.,1923,1235,6067,98
JoeBiden,Go vote. You can make a difference in this election. Confirm your polling location at,1494,1272,5720,94
JoeBiden,"Folks, today is the day.If you haven’t voted yet, head to  to confirm your polling location.",3555,2286,11414,180
JoeBiden,"Everything Democrats have fought so hard for is on the ballot. Ahead of Election Day, I’m in Maryland to discuss what’s at stake. Tune in now.",991,1568,3873,69
JoeBiden,"Without a single Republican vote in Congress, congressional Democrats finally beat Big Pharma. Out-of-pocket prescription drug costs for seniors on Medicare cannot be higher than $2,000 a year.",7928,7997,40263,660
JoeBiden,"Democrats will continue lowering every day costs like health care and prescription drugs, while Republicans will raise prices.Make your Election Day voting plan at  today.",1562,2272,5435,124
JoeBiden,Want to help Democrats win up and down the ballot tomorrow? Help make calls to voters before Election Day!One conversation can make all the difference.,1426,1817,5380,61
JoeBiden,".@KathyHochul gets things done. New York, make your plan to vote tomorrow at",976,1156,3940,77
JoeBiden,"Election Day is tomorrow, folks. Confirm your polling location at",2069,1854,7443,143
JoeBiden,Take it from me and my friend @BarackObama: VOTE!,11411,13270,50036,1462
JoeBiden,"Republicans in Congress have already introduced legislation to ban the right to choose nationwide, but if we elect more Senate Democrats and keep control of the House, we will codify Roe v. Wade as the law of the land.",6153,7753,23559,485
JoeBiden,"Earlier this month, we helped lower the cost of hearing aids. We made them available over the counter, which could save up to $3,000 a pair for millions of Americans with hearing loss.",3913,4171,17899,298
JoeBiden,"When I think of character, I think of @JohnFetterman.When I think of courage, I think of @JoshShapiroPA.Let’s get them elected.Lock in your plan to vote at  before November 8.",2632,2932,10039,182
JoeBiden,"LIVE: I’m in Westchester County, New York, getting out the vote for Democrats right before Election Day. With two days left, there is so much at stake. Tune in.",873,915,3658,51
JoeBiden,"As we enter the final days of this midterm election, remember the power to shape America is in your hands. Head to  to make your plan to vote.",1455,1563,5756,71
JoeBiden,It's good to get out the vote with @BarackObama in Philadelphia a few days before this critical election.,4876,4485,25807,354
JoeBiden,Everything is at stake in these next 2 days. Make a plan to vote now:,1719,2420,6229,121
JoeBiden,Social Security and Medicare are on the ballot.,3077,2342,8149,225
JoeBiden,"Pennsylvania, you have the power to make @JohnFetterman your next United States senator and @JoshShapiroPA your next governor. There’s so much on the ballot. Make a plan to vote now:",3692,3125,15085,191
JoeBiden,MAGA Republicans say one of their priorities is to deny Medicare the right to negotiate drug prices and give the power back to Big Pharma so they can continue to rip us off.Their plan would hurt working- and middle-class Americans.,6877,11838,23273,726
JoeBiden,"HAPPENING NOW: I’m in Philadelphia with my good friend @BarackObama, speaking with voters about the stakes in the midterm elections. You don’t want to miss this, folks!",1494,1653,6668,87
JoeBiden,This is the choice we face.,2443,2557,7883,162
JoeBiden,Ask everyone you know to go to  and make a plan to vote on or before November 8.,1698,1363,6478,95
JoeBiden,The oil industry has a choice: Either begin to invest in America or pay higher taxes on your excessive profits.,3270,5484,11804,438
JoeBiden,"This midterm election is about building a better America, but you’ve got to vote. Head to  today.",1217,1925,4980,109
JoeBiden,Working families can’t afford the Republican agenda.,6812,12690,17311,805
JoeBiden,I’m not going to apologize for helping working- and middle-class families.,3772,8945,16903,522
JoeBiden,The fate of democracy is in your hands:,1438,2540,4571,144
JoeBiden,"Senator Lindsey Graham made it clear: Republicans want a national ban on abortion. But if we elect two more Democratic senators and keep control of the House, we will codify Roe v. Wade.",4675,1999,12980,264
JoeBiden,"Today’s jobs report—adding 261,000 jobs with the unemployment rate still at a historically low 3.7%—shows that our jobs recovery remains strong.  While comments by Republican leadership sure seem to indicate they are rooting for a recession, the U.S. economy continues to grow.",2650,2213,9972,147
JoeBiden,"Folks, we’re making sure everyone knows what's at stake in this election. Join me in Maryland for a grassroots rally right before Election Day. RSVP now.",583,822,2624,34
JoeBiden,Make sure you’re ready to vote on Election Day.,1240,2463,5415,135
JoeBiden,"We must, with one overwhelming unified voice, speak as a country and say there's no place for political violence in America.",2109,3569,7721,181
JoeBiden,"Folks, no one’s gonna fight harder for New Mexico than Governor @Michelle4NM.",1059,814,5000,50
JoeBiden,This MAGA Republican Party is determined to take us backwards.,9290,7479,25687,645
JoeBiden,"To protect the right to choose and continue moving New Mexico forward, we must reelect Governor @Michelle4NM and vote for Democrats up and down the ballot.",1385,1662,5906,88
JoeBiden,You can’t make this stuff up.,19395,18131,67343,1669
JoeBiden,"If we elect two more Democrats to the Senate and keep control of the House, we’re going to codify Roe v. Wade in January so it’s the law of the land.",14493,22102,91570,2371
JoeBiden,I'm excited to join folks in New Mexico to talk about the choice voters face in the midterm elections. Listen in.,555,645,2472,25
JoeBiden,Republicans want to talk about spending? Let’s compare.,4579,2370,11207,243
JoeBiden,I’m excited to join my good friend @BarackObama in Philadelphia to fire up voters ahead of the midterm elections. The stakes couldn’t be higher. And the choice couldn’t be clearer. Sign up.,1289,1859,5610,128
JoeBiden,Democracy is on the ballot.,2267,4171,8134,283
JoeBiden,This midterm election is too important to sit out. Head to  to make your plan to vote today.,3442,5505,11399,352
JoeBiden,Make a plan to cast your ballot:,5572,12044,23417,991
JoeBiden,The fate of the nation—the fate of the soul of America—lies where it always does:With the people.In your hands. In your hearts. And your ballot.,1732,2987,6429,154
JoeBiden,"History and common sense tell us that liberty, opportunity, and justice thrive in a democracy—not in an autocracy.At our best, America is not a zero-sum society where for you to succeed, someone else must fail.The promise of America is big enough for everyone to succeed.",2183,2012,8444,125
JoeBiden,All of us who reject political violence—and I believe that is the overwhelming majority of Americans—all of us must unite to make it absolutely clear violence and intimidation have no place in America.,6594,10365,26004,689
JoeBiden,"Democracy is more than a form of government. It’s a way of being. A way of seeing the world.A way that defines who we are, what we believe, and why we do what we do.Democracy is simply that fundamental.",5253,4458,18960,770
JoeBiden,American democracy is under attack because the defeated former president of the United States refuses to accept the results of the 2020 election.He refuses to accept the will of the people.He refuses to accept the fact that he lost.,12385,29228,69944,2366
JoeBiden,"We are facing a defining moment. An inflection point.We must with one overwhelming, unified voice speak as a country and say there is no place for voter intimidation or political violence in America, whether it’s directed at Democrats or Republicans.",4560,3224,16012,239
JoeBiden,LIVE: Tune in as I deliver remarks on preserving and protecting our democracy.,816,1156,3138,88
JoeBiden,This is the most important midterm election in our lifetime. It’s going to shape what this country looks like for the next decade or more.Make a plan to vote at,1073,1087,4178,72
JoeBiden,I will never apologize for helping middle-class Americans.,3717,9944,15905,578
JoeBiden,There’s nothing like a triple-thick black and white milkshake to celebrate my granddaughter Natalie’s first time voting.Make your plan to vote early or on Election Day at,7603,11944,67037,1762
JoeBiden,"I'm heading to New Mexico tomorrow, November 3, for a grassroots rally to discuss the importance of the midterm elections.Join me:",665,1332,3135,55
JoeBiden,Social Security.Medicare.A woman’s right to choose.Voting rights.It’s all at stake. Vote early or on Election Day.,8227,8603,30791,591
JoeBiden,Don’t sit this election out. Vote early or on Election Day.,1977,2704,7790,155
JoeBiden,"With one week to go until Election Day, I’m taking the stage in Florida to rally voters and talk about the choice we face as a country. Listen in.",837,1220,3873,52
JoeBiden,"I’m absolutely confident that, just as they did in 2020, the American people will again vote in record numbers and make it clear that democracy is a value that defines us and unites us as Americans.The stakes couldn’t be higher.",8856,12292,39615,831
JoeBiden,The choice for seniors is clear.,4099,7556,14640,514
JoeBiden,"One more week until Election Day. Let’s do this, America.",8095,18169,51702,1334
JoeBiden,Democrats will protect Social Security.We’ll protect Medicare.  Republicans like Rick Scott and Ron Johnson want to put it on the chopping block.,5864,6438,20581,426
JoeBiden,"With Election Day right around the corner, I’m heading to Florida to get out the vote for Democrats up and down the ballot. RSVP today to join.",928,1892,4222,118
JoeBiden,I know which side I’m on.,6106,12680,26594,810
JoeBiden,Make your plan to vote early or on Election Day at,1902,2775,8756,116
JoeBiden,"If we elect more Senate Democrats and keep control of the House, we’re going to codify Roe v Wade in January.",3492,6445,14307,446
JoeBiden,Nine more days. Know where to vote: Donate: Volunteer:,1380,2495,6245,101
JoeBiden,"We lost over 180,000 manufacturing jobs under the last guy.We’ve created 700,000 manufacturing jobs on my watch.",14368,25272,77175,2088
JoeBiden,"If we elect more Democrats to the Senate and keep the House, here is the promise I make to you and the American people: The first bill that I will send to Congress will be to codify Roe v. Wade.",6621,8299,28762,790
JoeBiden,"The previous president made a string of broken promises in places like Wisconsin, Indiana, and Ohio, where promised investments and jobs in manufacturing never materialized, but layoffs and shuttered factories did. Now, Made in America isn't just a slogan. It's a reality.",5213,6966,19651,341
JoeBiden,"The final say on Roe v. Wade does not rest in the court. It does not rest with extremist Republicans in Congress.If you do your part and vote, Democratic leaders in Congress will do their part. I’ll do my part. With your support, I will sign a law codifying Roe in January.",8974,9497,35417,789
JoeBiden,"Republicans are determined to hold the economy hostage. Either give in to their demands to cut Social Security and Medicare, which millions of Americans rely on, or they’ll crash the economy. Let me be clear: I will not cut Social Security and Medicare.",7108,7288,23520,476
JoeBiden,"In 2020, you voted and delivered the change you wanted to see in the world.In 2022, you need to exercise your power to vote again for the future of our nation.",6282,9804,26413,612
TTuberville,"RT @yhn: Alabama’s junior senator reiterated his support for Trump, saying he was “100%” behind his candidacy.",14,0,0,0
TTuberville,"RT @WhitlockJason: Today, as of this moment, I’m far more #TeamTrump than I have been at any time.",3191,0,0,0
TTuberville,"RT @jgray78: “You know what you’re getting with President Trump,” @TTuberville said. “He doesn’t have to learn the ropes. He knows the rope…",43,0,0,0
TTuberville,RT @alexbruesewitz: Thank you Senator @TTuberville! You’re on the right team 🇺🇸,198,0,0,0
TTuberville,"RT @MAGAIncWarRoom: .@TTuberville says he is ""100 percent"" behind President Trump's 2024 run.",363,0,0,0
TTuberville,He’s the leader America needs in 2024. That’s why I’m proud to endorse Donald J. Trump for President of the United States!,1822,827,9929,108
TTuberville,"RT @cnsnews: .@SenTuberville says Joe Biden has ""no"" authority to forgive student loan debts, adding it's ""not constitutional.""",17,0,0,0
TTuberville,RT @SenTuberville: The success of @NASA’s Artemis I mission is a direct result of the tireless efforts of thousands of Alabamians. Their co…,11,0,0,0
TTuberville,Congratulations to my good friend @RepLedbetter on being elected Alabama Speaker of the House! #alpolitics,11,11,45,0
TTuberville,RT @SenTuberville: Great to welcome Army to The Vet for today’s Military Appreciation Game.,11,0,0,0
TTuberville,"RT @SenTuberville: Honored to join Mr. Frank Clark, a WWII veteran, for the coin toss at Troy vs Army. Great way to spend Veterans Day week…",7,0,0,0
TTuberville,God bless our Veterans and their families! #HappyVeteransDay,9,13,93,1
TTuberville,RT @1819News: .@SenTuberville names Mary Blanch Hankey chief of staff #alpoliticsBy @EricaHNews,7,0,0,0
TTuberville,RT @lovett_kasey: I've been fortunate to work for many great leaders and Stephen is at the top of that list. A steady hand at the wheel in…,5,0,0,0
TTuberville,"RT @yhn: U.S. Sen. Tommy Tuberville (R-Auburn) announced Thursday the departure of Stephen Boyd as chief of staff, who will exit the office…",6,0,0,0
TTuberville,Congratulations to @KatieBrittforAL! I’m excited to work with her for the great state of Alabama and the United States of America!,20,12,256,1
TTuberville,RT @FMTalk1065pods: U.S. Senator Tommy Tuberville - Jeff Poor Show - Tuesday 11-08-22  via @Audioboom,5,0,0,0
TTuberville,"RT @GOPChairwoman: Can’t wait until this Dream Team is in the U.S. Senate! Let’s do this! @DrOz, @HerschelWalker, @JDVance1, @AdamLaxalt,…",882,0,0,0
TTuberville,RT @BuckSexton: Today the tide turns back toward sanity #redwave Go get it done! 🇺🇸🇺🇸🇺🇸🇺🇸,136,0,0,0
TTuberville,You can’t make it up.,146,57,432,6
TTuberville,"RT @VoteMarsha: Alabama, send an absolute fireball to the U.S. Senate. @KatieBrittforAL is going to do a great job working with @TTubervil…",10,0,0,0
TTuberville,RT @ClayTravis: Joy Reid says people didn’t know the word inflation until Republicans taught it to them. The left wing insanity keeps growi…,677,0,0,0
TTuberville,RT @RNCResearch: Biden just wrapped up a primetime speech six days before the election. Here are the number of times he mentioned…Border:…,16702,0,0,0
TTuberville,RT @bgmasters: I believe in helping our Border Patrol — that’s why our Border Patrol agents support me. Mark Kelly believes in helping th…,674,0,0,0
TTuberville,RT @VoteMarsha: Great to be with my friend @willainsworthAL supporting Alabama’s next United States Senator @KatieBrittforAL. #RedWave,18,0,0,0
TTuberville,"RT @rachlepp: What a crowd for @KatieBrittforAL and @VoteMarsha in Madison, AL on a Monday morning. It’s GOTV folks! 8 days until we take b…",14,0,0,0
TTuberville,"RT @JakeCrain_: Great talk with @TTuberville on NIL, Transfer Portal and AuburnLINK:",4,0,0,0
TTuberville,"I was born in Arkansas, @Boozman4AR…but Auburn is home. WAR EAGLE!",3,9,52,4
TTuberville,"RT @DylanSmithAL: “So all of these people when they cross, they’re going to Alabama … they’re going throughout the entire United States,” N…",7,0,0,0
TTuberville,RT @yhn: U.S. Sen. Tommy Tuberville has criticized the president for not showing true leadership when it comes to the issue of defending Ta…,3,0,0,0
TTuberville,RT @justin_lovvorn: Enjoyed meeting with and talking to Senator Tuberville today during his visit to Greenville. We received an update on h…,8,0,0,0
TTuberville,RT @rickandbubba: We asked Senator Tommy Tuberville about how things look from the inside of D.C. and how fit Biden is to lead the country.…,8,0,0,0
TTuberville,Brought to you by @TheDemocrats. #RedWave #Midterms #BorderCrisis,5,31,18,2
TTuberville,"RT @ClayTravis: Vince Dooley making the closing argument for Herschel. Just a hunch, I think this ad will probably do pretty well in Georgi…",1892,0,0,0
TTuberville,"RT @1819News: Biden signs Tuberville bill to increase life insurance for military service members to $500,000",6,0,0,0
TTuberville,RT @AmericaNewsroom: WATCH: #ONEPILLCANKILL. A powerful exchange between @DanaPerino &amp; @KatieBrittforAL on the rise of fentanyl poisonings…,123,0,0,0
TTuberville,"RT @DylanSmithAL: .@SenTuberville offers his first response on comments he made during a Sept. 8 Trump rally, which sparked outcry and fals…",9,0,0,0
TTuberville,"RT @yhn: ""Progressive prosecutors across the nation refuse to enforce laws they personally disagree with, and our communities are suffering…",9,0,0,0
TTuberville,RT @yhn: The Supporting Families of the Fallen Act increases the U.S. Department of Veterans’ Affairs Servicemembers’ Group Life Insurance…,5,0,0,0
